neuron,stationary,adf_pvalue,f_stat,granger_pvalue,is_causal
hidden_0_n0,True,0.0,32.276895337857134,1.17738461401433e-18,True
hidden_0_n1,True,0.0,30.809985523260803,6.792242981439775e-18,True
hidden_0_n2,True,0.0,30.320459539849494,1.2231027984532306e-17,True
hidden_0_n3,True,0.0,49.166812856426944,5.677297030474914e-27,True
hidden_0_n4,True,0.0,31.440449183746534,3.1922663730488928e-18,True
hidden_0_n5,True,0.0,41.929855935918795,1.662408333347999e-23,True
hidden_0_n6,True,0.0,54.45642559024086,2.0214818491574987e-29,True
hidden_0_n7,True,0.0,26.811242955609707,8.718707377788679e-16,True
hidden_0_n8,True,0.0,41.12136760237215,4.1378560516908796e-23,True
hidden_0_n9,True,0.0,41.666065054044154,2.237469342693905e-23,True
hidden_0_n10,True,0.0,27.528707773174883,3.6180125118260707e-16,True
hidden_0_n11,True,0.0,59.81111327683685,7.873343793595344e-32,True
hidden_0_n12,True,0.0,47.17596742731679,4.943116287713768e-26,True
hidden_0_n13,True,0.0,36.79996121919999,5.8175286939199e-21,True
hidden_0_n14,True,0.0,29.985686678786593,1.8305522056236018e-17,True
hidden_0_n15,True,0.0,25.456084876838332,4.63870489861243e-15,True
hidden_1_n0,True,0.0,31.66090951025648,2.453128880620615e-18,True
hidden_1_n1,True,0.0,24.222347354672387,2.1497988472842617e-14,True
hidden_1_n2,True,0.0,33.97739164332467,1.573137327610655e-19,True
hidden_1_n3,True,0.0,28.984471844095733,6.143045813565109e-17,True
hidden_1_n4,True,0.0,19.828134789533795,5.552474234095594e-12,True
hidden_1_n5,True,0.0,33.62017018477001,2.39706609790742e-19,True
hidden_1_n6,True,0.0,18.458100321942407,3.231427149936917e-11,True
hidden_1_n7,True,0.0,35.612055764020575,2.3151116004976114e-20,True
