step,loss,hidden_0_n0,hidden_0_n1,hidden_0_n2,hidden_0_n3,hidden_0_n4,hidden_0_n5,hidden_0_n6,hidden_0_n7,hidden_0_n8,hidden_0_n9,hidden_0_n10,hidden_0_n11,hidden_0_n12,hidden_0_n13,hidden_0_n14,hidden_0_n15,hidden_0_n16,hidden_0_n17,hidden_0_n18,hidden_0_n19,hidden_0_n20,hidden_0_n21,hidden_0_n22,hidden_0_n23,hidden_0_n24,hidden_0_n25,hidden_0_n26,hidden_0_n27,hidden_0_n28,hidden_0_n29,hidden_0_n30,hidden_0_n31,hidden_0_n32,hidden_0_n33,hidden_0_n34,hidden_0_n35,hidden_0_n36,hidden_0_n37,hidden_0_n38,hidden_0_n39,hidden_0_n40,hidden_0_n41,hidden_0_n42,hidden_0_n43,hidden_0_n44,hidden_0_n45,hidden_0_n46,hidden_0_n47,hidden_0_n48,hidden_0_n49,hidden_0_n50,hidden_0_n51,hidden_0_n52,hidden_0_n53,hidden_0_n54,hidden_0_n55,hidden_0_n56,hidden_0_n57,hidden_0_n58,hidden_0_n59,hidden_0_n60,hidden_0_n61,hidden_0_n62,hidden_0_n63,hidden_0_n64,hidden_0_n65,hidden_0_n66,hidden_0_n67,hidden_0_n68,hidden_0_n69,hidden_0_n70,hidden_0_n71,hidden_0_n72,hidden_0_n73,hidden_0_n74,hidden_0_n75,hidden_0_n76,hidden_0_n77,hidden_0_n78,hidden_0_n79,hidden_0_n80,hidden_0_n81,hidden_0_n82,hidden_0_n83,hidden_0_n84,hidden_0_n85,hidden_0_n86,hidden_0_n87,hidden_0_n88,hidden_0_n89,hidden_0_n90,hidden_0_n91,hidden_0_n92,hidden_0_n93,hidden_0_n94,hidden_0_n95,hidden_0_n96,hidden_0_n97,hidden_0_n98,hidden_0_n99,hidden_0_n100,hidden_0_n101,hidden_0_n102,hidden_0_n103,hidden_0_n104,hidden_0_n105,hidden_0_n106,hidden_0_n107,hidden_0_n108,hidden_0_n109,hidden_0_n110,hidden_0_n111,hidden_0_n112,hidden_0_n113,hidden_0_n114,hidden_0_n115,hidden_0_n116,hidden_0_n117,hidden_0_n118,hidden_0_n119,hidden_0_n120,hidden_0_n121,hidden_0_n122,hidden_0_n123,hidden_0_n124,hidden_0_n125,hidden_0_n126,hidden_0_n127,hidden_1_n0,hidden_1_n1,hidden_1_n2,hidden_1_n3,hidden_1_n4,hidden_1_n5,hidden_1_n6,hidden_1_n7,hidden_1_n8,hidden_1_n9,hidden_1_n10,hidden_1_n11,hidden_1_n12,hidden_1_n13,hidden_1_n14,hidden_1_n15,hidden_1_n16,hidden_1_n17,hidden_1_n18,hidden_1_n19,hidden_1_n20,hidden_1_n21,hidden_1_n22,hidden_1_n23,hidden_1_n24,hidden_1_n25,hidden_1_n26,hidden_1_n27,hidden_1_n28,hidden_1_n29,hidden_1_n30,hidden_1_n31,hidden_1_n32,hidden_1_n33,hidden_1_n34,hidden_1_n35,hidden_1_n36,hidden_1_n37,hidden_1_n38,hidden_1_n39,hidden_1_n40,hidden_1_n41,hidden_1_n42,hidden_1_n43,hidden_1_n44,hidden_1_n45,hidden_1_n46,hidden_1_n47,hidden_1_n48,hidden_1_n49,hidden_1_n50,hidden_1_n51,hidden_1_n52,hidden_1_n53,hidden_1_n54,hidden_1_n55,hidden_1_n56,hidden_1_n57,hidden_1_n58,hidden_1_n59,hidden_1_n60,hidden_1_n61,hidden_1_n62,hidden_1_n63,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9
58,0.036792,-0.340438,-1.014665,-0.992903,0.525394,-1.229155,1.690893,1.010557,-3.111319,1.65211,0.794855,-4.96657,-4.852727,0.344974,1.284303,-0.64379,-0.029185,-2.100775,-0.652639,-0.405007,4.139386,2.715309,-1.20594,4.086278,-4.075462,0.164225,-1.35066,1.019111,2.367248,2.040421,-1.16428,1.669143,1.126858,1.864166,1.029719,0.01964,0.909292,0.990914,0.986641,1.13636,-3.436459,1.041542,-2.12942,-2.159896,2.748925,0.212419,2.313318,0.982968,-0.310635,3.247933,2.430322,0.796975,1.757,1.704348,1.388547,4.01946,-0.043462,0.215314,-1.121398,-1.163037,-2.703752,-4.663758,-3.424751,-1.743836,2.147417,0.053451,1.38444,-0.960102,1.69497,0.809442,1.458158,2.02484,-2.018405,-4.786238,4.025584,-2.398927,0.213353,-0.56551,-0.075827,1.806065,-0.100721,-5.456466,0.233604,-0.0245,-1.016775,1.72897,0.966078,-3.736965,0.571841,3.548615,0.467075,-2.188148,0.323619,-1.209162,-1.254378,3.200228,2.086619,1.660779,0.083411,0.612665,2.630384,-2.030604,-0.060647,2.412706,-0.156339,-2.674166,2.744627,-0.117823,1.854236,0.572843,-0.915432,-1.509792,4.697807,-3.52743,-0.217955,4.149273,0.666291,-2.79791,1.860866,1.34999,-0.494483,-1.379937,-1.037771,-4.683155,3.425874,-3.225149,0.221367,-2.975956,-0.128425,2.261678,3.609715,1.867408,3.588996,-1.797952,2.715001,-0.561434,4.224487,4.81765,-2.010793,5.007109,0.069148,2.999877,0.902641,2.360581,-3.359862,2.743747,2.312805,1.981077,-3.471636,0.405976,2.459483,1.610284,-0.528357,-0.166547,-4.898714,2.577508,4.066705,3.396832,2.402528,4.50142,3.085896,4.452637,1.356491,1.738907,-2.569001,2.16657,1.425464,4.117916,2.952909,-0.589553,5.380614,6.447411,1.780459,2.175978,3.038609,4.923275,4.148212,3.547704,3.023212,4.366603,0.124869,1.135423,3.634464,1.596646,3.074362,1.279544,1.016472,2.112782,2.639707,2.447486,0.462109,5.294167,1.329295,-5.392259,-3.863465,-2.111959,-1.945856,-6.043722,-2.486841,-4.621819,-3.690037,-3.082318,-1.697073
59,0.015823,-0.521737,-0.951199,-0.659063,0.500658,-1.142045,1.655091,1.282959,-3.062985,1.874281,0.62023,-4.56403,-4.839855,0.417626,1.313732,-0.641368,0.278601,-2.709793,-0.887105,-0.654915,3.991845,2.684905,-0.678849,4.012451,-3.961126,-0.052839,-1.169584,0.999081,2.665495,1.879383,-1.513037,1.60949,1.296454,1.877921,0.830295,0.132416,0.923375,1.013067,0.822921,0.880993,-3.770517,0.986383,-2.068941,-1.812747,2.501442,0.215252,2.310665,0.987662,0.063379,3.30397,2.121799,0.794775,1.540826,1.770218,1.304274,4.007613,-0.281511,-0.162423,-1.263436,-1.037625,-2.656744,-4.367981,-2.868046,-2.095066,2.163086,-0.043269,1.320489,-0.496071,1.591272,0.717607,1.570182,2.08251,-1.459079,-4.788057,3.56373,-2.700145,0.33051,-0.331121,-0.018564,1.630419,0.187153,-5.254748,-0.182226,0.436353,-0.825408,1.727945,0.917471,-4.238629,0.67873,3.608747,0.015907,-2.293701,0.52115,-0.997416,-1.473675,3.103755,2.363381,1.599168,0.241219,0.132648,2.303205,-2.090575,0.209459,2.298233,-0.022701,-2.649105,2.585646,0.381993,1.986001,0.472814,-1.629498,-1.324627,4.723554,-3.178628,-0.584742,4.139115,0.756467,-3.116888,1.910005,1.303551,-0.654692,-1.060918,-0.786781,-5.033705,3.713685,-3.363953,0.276611,-2.943728,-0.280646,2.267481,3.403383,1.699536,3.869633,-2.023824,2.652695,-0.712314,4.572371,4.865219,-1.779681,4.883984,-0.166745,3.000335,0.537148,2.55899,-3.743195,2.406434,2.092763,1.807258,-3.475563,0.470215,2.675198,1.397612,-0.44563,0.216526,-4.709157,2.651019,3.969118,3.567235,2.516172,4.604064,2.79687,4.340317,1.398587,1.554734,-2.741326,1.934658,1.227441,4.082836,3.056386,-0.611193,5.652277,6.697027,1.880687,1.740117,2.943199,4.851277,4.390515,2.942887,3.055696,3.946611,0.072909,0.755448,3.613226,1.735399,2.778332,1.11364,1.356359,1.882688,2.699286,2.051682,0.7258,5.765479,1.075292,-5.397387,-3.780958,-0.955045,-1.667172,-6.526882,-2.646616,-5.362844,-3.415889,-2.731653,-1.893016
60,0.01163,-0.78806,-0.547601,-1.157153,0.396943,-1.04215,1.721684,1.406008,-3.064408,1.572423,0.716336,-3.73087,-4.498109,0.348168,1.446108,-0.854697,0.189629,-3.02943,-0.675982,-0.99189,4.037601,2.768923,-1.433761,3.844371,-4.271321,0.248054,-1.077168,0.742293,2.255489,1.985393,-1.653776,1.131254,1.235023,2.340585,1.551153,0.251428,0.898272,1.124676,0.771013,0.575821,-3.591984,0.845451,-2.140309,-1.947441,2.314698,0.412843,2.008511,1.260186,0.346226,3.328521,2.386824,1.120692,1.221754,1.955106,1.342117,3.760602,0.040769,-0.216983,-0.993663,-1.081004,-2.598545,-3.876411,-2.037837,-1.808319,1.812674,0.856938,1.15259,-0.273992,1.818581,1.008586,1.52993,2.282728,-1.48492,-5.003919,3.677934,-2.418823,0.405067,0.230066,-0.467853,1.463099,0.198717,-5.659501,-0.849678,0.282241,-0.590081,2.043092,0.913467,-3.67291,0.630372,3.624891,-0.709278,-2.079204,0.361054,-1.6423,-1.354819,3.232462,2.602483,1.77612,0.393783,-0.413048,2.394375,-2.157414,0.200924,1.961413,-0.489102,-2.661451,2.70939,0.616655,1.799681,0.487725,-1.475649,-1.045962,4.890284,-3.085928,0.12097,4.132627,0.772931,-3.310316,1.670534,0.910808,-0.450292,-0.607546,-0.366748,-5.519135,3.563705,-3.131167,0.117609,-3.092681,-0.454917,2.219256,3.051138,2.174238,3.856783,-2.453543,2.863316,-0.623402,4.908323,4.184404,-2.203521,4.51419,-0.334134,2.754885,0.538126,2.754365,-2.648962,2.592309,2.436937,1.986719,-3.216195,0.634251,2.436268,1.879352,0.133356,0.337321,-4.715592,2.750616,4.394034,3.496469,2.275199,5.002251,2.827971,4.365109,1.72176,1.74104,-2.598866,2.376843,0.997731,3.476868,3.441744,-0.840097,6.004519,6.067859,1.684264,2.257171,2.879865,4.394493,4.366692,3.099738,3.287005,3.910904,0.600203,1.176422,3.691584,1.21263,2.80799,2.009281,1.29143,2.299532,2.389982,2.006246,0.537166,5.523221,0.9515,-5.51383,-3.696517,-2.024972,-2.317971,-5.633626,-3.842912,-5.925621,-2.803654,-3.129317,-1.010203
61,0.016625,-0.669096,-1.249581,-0.83914,0.249507,-1.103775,1.781459,1.218842,-3.086517,1.307978,1.010979,-4.500617,-4.79935,0.550666,1.288165,-0.778496,0.463248,-2.275593,-0.692977,-0.731655,4.516124,2.704221,-1.027339,4.081828,-3.801631,-0.087115,-1.141584,0.767152,2.565215,1.714277,-1.437717,1.870805,1.488992,1.924389,0.954424,0.260979,0.432147,0.677204,0.837244,0.824758,-3.54721,0.931885,-2.102852,-1.880019,2.571728,0.348627,2.003954,1.003514,-0.662698,3.310528,1.992015,0.727124,1.683798,1.701432,1.178862,4.177651,-0.207089,-0.08739,-0.942795,-1.122123,-2.620592,-3.924369,-2.956881,-2.11238,2.265521,0.615202,0.85327,-1.286775,1.821239,0.5289,1.434881,2.05641,-1.506388,-4.369143,3.791138,-2.467462,0.316557,-0.729167,-0.218666,1.730398,-0.123188,-4.966717,0.056087,-0.162719,-1.446498,1.50757,0.973081,-4.405919,0.475016,3.362454,0.372036,-2.397013,0.222561,-0.993129,-1.479303,3.39919,2.530759,1.634518,0.629356,0.013294,2.339619,-2.41225,0.288862,2.446061,-0.726021,-2.643925,2.872663,0.332566,1.951992,0.19473,-1.490433,-1.220889,4.712387,-3.188261,-0.903836,4.145926,0.437602,-2.887995,1.575642,1.37097,-0.710585,-1.391694,-0.861661,-5.45582,3.72821,-2.736657,0.417773,-2.833455,-0.232476,2.293627,3.054305,2.057027,3.881842,-2.244049,2.760526,-0.938337,4.263132,4.855415,-1.500999,4.886709,-0.487597,2.894069,0.608747,2.390903,-3.319064,2.552823,2.329277,2.191346,-3.377876,0.515983,2.325012,1.657208,-0.58423,0.084878,-4.760705,2.426314,3.757902,3.736607,2.513283,4.748092,2.878643,4.13323,1.363787,1.614423,-2.809363,2.429491,1.357723,4.019701,3.135857,-0.891118,5.442689,6.672299,2.194703,2.147917,3.235229,5.034851,4.04954,3.191649,3.039759,3.965688,0.193812,0.772391,3.836426,1.057821,3.150989,1.344938,1.015179,1.949907,2.337389,2.256771,0.195517,5.460896,1.219568,-5.36272,-3.769995,-2.215443,-1.896474,-6.349621,-2.290539,-5.242814,-3.642096,-2.911666,-1.456125
62,0.044907,-0.921337,-1.094064,-1.118877,0.197638,-1.457859,2.036103,1.469647,-3.153481,1.456815,0.520226,-3.786858,-5.632481,0.446245,1.188629,-1.028779,0.860184,-2.978948,-1.09175,-1.343262,4.306171,2.737386,-1.786105,3.751629,-3.836719,-0.063972,-1.992365,0.948321,2.215197,2.334499,-2.020411,1.868627,1.74343,1.672821,0.913438,0.022389,1.177804,0.621276,0.712758,0.922872,-3.990397,0.844543,-2.15652,-2.459895,2.612394,0.308917,2.128691,1.303783,-0.476245,3.61757,2.421564,0.350188,1.160553,1.667105,0.952815,3.839143,-0.516126,-0.045108,-1.269469,-0.938232,-2.657398,-4.443594,-2.929548,-2.2173,1.975188,-0.101949,1.593411,-0.730496,2.016523,0.504505,1.487405,2.084215,-1.725667,-5.147757,3.520642,-2.026347,0.225761,-0.425093,0.215398,1.97686,0.575546,-5.879889,-0.23504,0.227546,-0.737643,1.554237,0.80954,-3.816094,1.074448,3.498369,-0.017105,-2.12675,0.876379,-1.983916,-1.650468,3.151053,2.536101,1.990403,0.190028,-0.047093,2.233515,-2.76827,0.24802,2.119308,-0.187813,-2.690983,2.780169,0.343895,1.868525,0.342727,-1.531605,-1.317919,5.181553,-3.131226,-0.357442,3.849214,0.559787,-2.847844,1.654318,1.453478,-0.291461,-1.616791,-0.703578,-6.008449,3.889243,-2.250172,-0.127734,-3.822394,-0.370227,2.344858,3.631347,2.135591,4.278615,-1.936517,2.986404,-1.006229,4.523841,4.623773,-1.972378,4.868479,-0.677872,2.755884,0.376115,2.767854,-3.953239,2.718633,2.485203,1.569165,-3.452213,0.060833,1.98272,0.853085,0.009179,0.020763,-4.980124,2.77697,4.03804,4.163853,2.537432,4.672824,2.941069,3.994446,1.131265,2.003379,-2.507149,2.337033,0.726878,3.948132,3.375024,-0.999194,6.163174,6.455612,2.028181,2.093306,3.205399,4.951849,4.463899,3.19974,3.185797,4.024382,0.321121,0.771431,3.96115,1.15755,3.056134,1.527671,1.532794,2.208639,2.915436,1.686792,0.493402,5.424154,1.199937,-4.885706,-4.757406,-1.468685,-2.005809,-6.527824,-2.663662,-5.633654,-3.364662,-2.916197,-1.252936
63,0.015144,-1.008762,-0.419195,-1.426303,0.562171,-0.779684,2.000307,1.258573,-3.057501,1.81092,0.512587,-4.363548,-4.851362,0.516243,1.332706,-0.808104,0.194085,-1.672419,-1.098495,-0.953099,4.3554,2.923341,-1.042329,3.896802,-3.674651,0.109141,-1.551086,1.372926,2.671031,1.606805,-1.938559,1.588624,1.27394,1.887007,1.472201,0.276734,1.062354,0.596878,0.717636,0.760383,-3.733893,0.867331,-2.062035,-1.935131,2.580315,0.514234,2.561922,1.230201,-0.623647,3.678344,2.043704,1.172177,1.814829,1.790596,1.123635,3.954824,0.047586,-0.343564,-0.744948,-1.321557,-2.563399,-4.652693,-3.022867,-1.950682,2.100213,0.585162,1.679835,-0.10484,2.082022,0.671007,1.420642,2.209953,-1.565152,-5.181545,3.634529,-1.885275,-0.134716,-0.237305,0.123584,1.631307,0.320782,-4.991449,0.289955,0.176591,-1.213393,1.976431,0.251089,-4.060262,0.561292,3.69769,0.346346,-2.116184,0.738643,-0.813174,-1.573127,3.577145,2.493065,1.990018,0.20635,0.24314,2.507311,-1.846554,0.291175,2.503023,-0.331261,-2.707228,3.099107,0.498781,2.074302,0.359089,-1.161882,-1.446387,5.216333,-3.206285,-0.248522,3.93301,0.824445,-2.608823,1.855908,1.668022,-0.627575,-0.869261,-0.254996,-5.444791,3.654164,-3.08367,0.57505,-2.769781,-0.491416,1.897475,2.577591,2.273586,4.397852,-2.306384,2.691178,-0.926419,4.649188,4.775431,-1.306979,4.513111,-0.877386,3.103585,0.35898,2.837963,-3.522057,3.147356,2.133768,2.33284,-3.615681,0.264028,2.363913,1.044563,-0.097384,0.02192,-4.723689,2.643076,4.02345,3.871409,2.950888,4.967421,2.993624,3.7844,1.533925,2.128751,-2.459009,2.684259,0.997566,4.043749,3.295399,-1.120687,6.1798,7.008043,2.320814,2.14603,3.189492,5.583927,3.882239,3.209707,3.452869,4.109078,-0.027686,0.90975,3.969825,1.338269,3.34557,1.871153,1.151744,2.688729,2.0864,2.146388,0.432077,5.920455,0.965123,-6.217631,-4.394241,-2.375342,-1.551642,-6.622344,-2.111672,-6.389043,-3.568477,-2.784914,-0.514798
64,0.01747,-0.766975,-0.728955,-0.695477,0.579311,-0.590567,2.086311,0.89361,-3.072224,2.0295,0.760056,-4.547453,-4.692901,0.624248,1.612391,-0.232895,-0.316122,-1.969618,-0.453103,-0.863866,4.181718,2.892765,-0.967025,3.893353,-4.203238,0.487459,-0.926913,1.273068,2.43588,1.670234,-1.407071,1.676399,1.23274,2.088096,0.930486,0.157691,1.106583,1.397458,0.955607,1.113869,-2.916148,1.299529,-2.20801,-1.446206,2.543246,0.308559,2.363281,1.061309,-0.46695,3.223581,2.328108,1.179211,1.741917,2.01461,1.189508,4.025932,-0.112643,0.119291,-0.808761,-1.130593,-2.63515,-4.252506,-2.664521,-1.621939,2.275917,0.048509,1.510411,-0.990507,1.759441,0.691732,1.391051,2.156788,-1.90211,-5.0957,3.816482,-2.19466,0.127994,0.155199,0.235488,1.919991,0.4517,-5.951807,0.263165,-0.130074,-1.052013,2.067212,0.989312,-3.759064,0.443749,3.961756,0.458943,-1.91557,0.70358,-1.048688,-1.161541,3.277096,2.091657,2.070267,0.185665,0.163357,2.462813,-2.002054,-0.027377,2.126595,-0.172811,-2.680013,2.851713,0.488849,2.217681,0.570189,-1.539509,-1.187632,4.904491,-3.353627,-0.311973,3.808792,0.772277,-2.546885,1.904342,1.25571,-0.578766,-0.941646,-1.012673,-5.404946,3.543675,-2.936654,0.7529,-2.467931,-0.507627,2.23067,2.939144,1.863153,4.090472,-2.304936,2.854897,-0.025127,4.570327,5.122546,-1.963162,4.897395,-0.399529,3.370959,0.602585,2.699897,-3.502087,2.995265,2.120867,2.059861,-3.453015,0.349604,2.839598,0.881561,-0.388986,-0.156361,-4.780704,2.707424,3.919182,3.820846,3.177666,4.798899,2.976561,4.312112,1.26088,2.406972,-2.487698,2.549397,1.452168,4.128342,3.536119,-0.553059,5.7959,6.858799,2.218648,2.184524,3.074327,5.581365,3.753978,3.138013,3.141742,4.037987,0.140695,0.621178,4.095199,1.754925,2.959662,1.525234,1.356344,2.710968,2.232446,2.018313,0.641519,5.886977,1.242244,-6.130074,-4.494283,-1.750355,-0.916316,-7.072281,-1.995073,-6.256804,-3.445419,-3.012643,-1.417083
65,0.017503,-0.565504,-0.181325,-1.041908,0.629102,-0.583337,1.867007,1.371859,-3.00865,1.741163,0.564561,-3.742612,-4.294627,0.325431,1.81423,-0.756654,-0.594133,-1.875041,-0.752482,-0.744628,3.997668,2.634175,-1.070184,3.840319,-3.728812,0.181784,-1.166416,0.90728,2.453733,1.412145,-1.392579,1.181322,1.301272,1.999879,1.624184,0.460327,0.870591,1.439775,0.82385,0.380348,-3.374799,0.943205,-2.095298,-2.214464,2.280531,0.446666,2.445438,1.323915,-0.0862,3.564627,2.119077,1.08246,1.517537,1.895623,1.199654,3.818711,-0.029286,-0.771454,-0.537428,-1.254265,-2.506029,-4.205207,-2.442416,-2.12871,1.830874,1.082379,1.561261,-0.087869,1.661187,0.652325,1.488811,2.195154,-1.844576,-5.229741,3.527308,-2.469501,0.182818,0.649257,-0.027892,1.547531,0.209264,-4.982574,-0.457265,0.649248,-0.997663,2.080387,0.340231,-3.338642,0.891527,3.568799,-0.058399,-1.80617,0.290953,-1.100385,-1.436727,3.675976,2.852878,1.9332,0.47082,-0.43466,2.278334,-1.803456,0.415019,2.302603,-0.490732,-2.596798,2.943121,0.139797,1.980657,0.049785,-0.608751,-1.493809,5.15411,-2.865529,0.125484,4.008087,0.964769,-3.312632,1.977845,1.110211,-0.968917,-0.182127,-0.151656,-4.500631,3.497328,-3.389775,0.442756,-2.166433,-0.750511,2.563108,2.525683,1.989175,3.906011,-2.956818,3.156616,-0.794171,4.890073,4.18388,-1.668909,4.143988,-0.637177,3.016383,0.918569,3.049278,-2.765568,2.605175,2.142029,2.263207,-3.599094,1.084081,2.743556,1.795281,0.172275,-0.069908,-4.767369,2.362126,4.098766,3.459261,2.493381,5.298493,2.714242,4.511418,1.732708,1.972213,-2.699766,2.843664,1.292366,3.827997,3.770851,-1.080261,6.491925,6.420178,2.021607,2.206717,2.424201,4.579675,3.875105,2.616238,2.906057,3.494039,0.451002,0.668704,3.912465,1.475334,2.63486,2.334856,1.073538,2.890106,1.727907,1.986468,0.495343,6.329284,0.73423,-6.240241,-3.066657,-2.031369,-1.178302,-6.180719,-3.467722,-6.89209,-1.986793,-3.389797,-1.136254
66,0.014268,-0.435437,-0.716345,-1.167783,0.371863,-0.926471,1.63411,1.617308,-3.11616,1.803989,0.622096,-4.11834,-5.081661,0.076168,1.564219,-0.882137,-0.108914,-2.438353,-0.659694,-0.935117,4.210123,2.667334,-1.27065,3.916748,-4.563102,0.318758,-1.037925,0.882768,2.173903,1.871268,-1.416034,1.451938,1.288144,2.083611,1.095238,-0.151362,0.952162,1.23809,0.754444,0.859122,-3.143518,0.947344,-2.194727,-2.435777,2.485641,0.120269,2.421944,1.187456,-0.017436,3.367449,2.397045,0.978536,1.459213,1.936724,1.403001,3.947013,-0.190457,-0.243732,-0.789779,-1.2499,-2.653035,-4.684122,-2.996037,-2.125354,2.00952,0.27871,1.403696,-0.717121,1.552193,0.714116,1.548366,2.185017,-2.161346,-5.102789,3.859174,-2.504835,0.095848,-0.177341,-0.047886,1.722579,0.079209,-5.69236,-0.288867,0.306068,-1.120169,1.884504,0.81579,-3.851985,0.880121,3.574523,-0.222055,-2.033085,0.44619,-1.843931,-1.223475,3.397359,2.417317,1.94352,0.161895,-0.111618,2.444283,-2.334138,-0.189382,2.266671,-0.474995,-2.682744,2.823868,0.125593,2.016752,0.139082,-1.031485,-1.733238,5.010803,-3.266619,-0.092936,4.167711,0.651804,-3.310079,1.723458,1.216821,-0.821858,-1.169207,-0.643282,-5.105455,3.828315,-2.991585,0.308891,-3.151874,-0.28977,2.526927,3.274401,1.693709,4.09805,-2.622209,2.874035,-0.380286,4.789409,4.707976,-2.13793,4.670546,-0.342789,3.006003,0.831845,2.556611,-3.476339,2.602795,2.012839,1.66428,-3.602988,0.695741,2.760257,1.337071,-0.016784,-0.079242,-4.72186,2.666239,4.138663,3.638825,2.782749,4.670774,2.77302,4.618167,1.404324,2.03459,-2.671928,2.290555,1.238037,4.124593,3.406367,-0.724753,6.105116,6.466331,1.803851,1.982306,2.612362,4.864307,4.25278,2.729988,3.101483,3.698395,0.030501,0.652118,4.037361,1.927843,2.650984,1.638895,1.213106,2.773472,2.479685,1.944131,0.603646,6.004622,0.856879,-5.918342,-4.232509,-1.208329,-1.027674,-7.023561,-2.754854,-6.172346,-2.870895,-2.937593,-1.544111
67,0.019718,-0.655856,-0.879649,-0.978094,0.133207,-0.98376,1.804192,1.439712,-3.143756,1.601296,0.843148,-3.690383,-4.862633,0.371095,1.401738,-1.051217,0.429098,-2.535228,-0.96433,-1.140764,4.307453,2.695101,-1.061114,3.874541,-4.03302,0.096026,-1.889546,0.912454,2.483271,2.075864,-1.67203,1.679544,1.512007,2.016146,0.979689,0.120378,1.017811,0.628768,0.717431,0.716401,-3.745786,0.816128,-2.220423,-2.640477,2.574253,0.242612,2.303292,1.340765,-0.293559,3.575466,2.180038,0.595177,1.306191,1.571699,1.160462,3.895453,-0.4245,-0.446584,-0.896505,-1.094844,-2.671178,-4.03876,-2.306592,-2.300481,2.000476,0.554471,1.062315,-0.400009,1.82035,0.575513,1.633439,2.16115,-1.487479,-4.734464,3.69419,-2.634648,0.306535,-0.282922,0.156558,1.513638,0.195861,-5.091241,-0.296312,0.163624,-0.968003,1.47899,0.635005,-4.09591,0.831176,3.496022,-0.282996,-2.184061,0.389447,-1.472348,-1.646814,3.235675,2.919927,1.919466,0.432634,-0.232692,2.412551,-2.38075,0.439353,2.271965,-0.505068,-2.684103,2.917954,0.003146,1.835749,0.501043,-1.039812,-1.400649,4.980222,-2.931138,-0.43047,4.095048,0.627456,-3.036917,1.977256,1.424045,-0.504737,-0.925427,-0.514093,-5.38617,4.028103,-2.921953,-0.106942,-2.907374,-0.543696,2.301172,3.046873,2.0958,4.174632,-2.17997,2.951495,-1.326851,4.462221,4.540597,-1.883288,4.613146,-0.907799,2.736683,0.628001,2.652029,-3.407326,2.62764,2.496916,1.854898,-3.685675,0.394089,2.138522,1.477922,0.000148,-0.077019,-4.802268,2.598375,3.760366,4.036945,2.438244,4.884626,2.840359,3.954557,1.350563,1.770077,-2.635781,2.335165,1.046821,3.869418,3.653483,-1.339943,6.030498,6.431998,1.998305,1.927425,3.134902,4.937522,4.231567,3.08612,3.132379,3.918169,0.409329,0.804573,4.071853,0.975532,3.102881,1.695121,1.221624,2.319753,2.404498,2.075616,0.301048,5.523007,1.02683,-4.974717,-4.244712,-2.274141,-1.775338,-6.281192,-2.798632,-5.908322,-3.141748,-2.884596,-0.786287
68,0.020218,-1.099673,-0.648217,-1.378105,0.349328,-0.699103,1.957936,1.324362,-3.08311,1.285158,0.333712,-4.163361,-5.773978,0.374239,1.381063,-0.526983,0.206575,-3.301313,-0.748253,-0.838951,4.24643,2.788234,-1.179853,3.852284,-3.665522,0.173152,-0.871683,1.116946,2.344641,1.764985,-1.589597,1.830734,1.564145,2.021209,0.90132,0.04485,0.964916,1.164723,0.769799,1.298858,-2.896759,1.016606,-2.109701,-1.777157,2.394613,0.491138,2.431913,1.322397,-0.532448,3.541039,2.235323,1.018126,1.90007,1.595865,0.939283,4.051346,-0.355215,-0.144772,-1.055511,-1.428798,-2.573339,-4.222019,-3.003098,-1.98699,1.996512,-0.357472,1.264847,-1.376073,1.673839,0.713659,1.40485,2.168948,-1.269742,-4.164566,3.413414,-2.283173,0.108586,-0.850436,0.072649,1.791961,0.524523,-5.877878,-0.616324,0.55743,-1.346318,1.918739,0.384082,-4.159965,0.913718,3.456334,0.25424,-2.62029,0.691829,-0.958576,-1.600317,3.096085,2.363277,2.067973,0.255589,-0.013629,2.083622,-2.929674,0.189714,2.617716,-0.274262,-2.673462,2.727742,0.315004,1.861084,0.171729,-1.685145,-1.488529,4.9598,-3.061837,-0.294115,3.913764,0.575709,-2.943083,1.748788,1.276085,-0.921374,-1.569268,-0.37856,-5.79508,3.50874,-2.479171,0.238762,-3.76738,-0.461985,2.522915,3.173931,1.816543,4.127221,-1.916782,3.061899,-0.744051,4.530667,4.384612,-1.222047,4.416121,-0.543222,2.728062,0.429858,3.144755,-3.797494,2.733085,2.277386,1.965554,-3.504779,1.064525,2.268443,1.188672,0.035736,-0.045611,-4.831573,2.594966,4.156635,3.928698,2.519157,4.718934,2.539441,4.136788,1.129325,1.677078,-2.53616,2.573314,0.804022,3.952985,3.668878,-0.863129,6.230322,6.488098,2.296091,1.843375,2.85583,4.66903,4.283652,2.608291,3.159325,3.481352,0.552662,0.243141,4.168007,1.542731,2.809574,1.814646,1.572451,2.449997,2.566136,1.751285,0.538961,5.622888,0.675559,-5.328352,-3.858653,-1.510799,-1.704293,-6.516675,-3.031606,-6.337463,-2.040345,-3.48622,-1.571889
